prompt,object_id
"chair",chair
"wooden chair",chair
"office chair",chair
"dining chair",chair
"wooden seat for a room",chair
"show me a furniture chair",chair
"astronaut",astronaut
"space explorer",astronaut
"person in a space suit",astronaut
"white astronaut suit",astronaut
"robot",robot
"friendly robot",robot
"humanoid android",robot
"machine person",robot
"horse",horse
"farm horse",horse
"stallion",horse
"pony animal",horse
"helmet",helmet
"motorcycle helmet",helmet
"damaged helmet",helmet
"sci fi helmet",helmet
"toy train",train
"train",train
"small locomotive",train
"kids railway toy",train
"planter",planter
"plant pot",planter
"flower pot",planter
"indoor plant pot",planter
"boombox",boombox
"portable music speaker",boombox
"radio",boombox
"stereo speaker",boombox
"avocado",avocado
"green fruit",avocado
"sliced avocado",avocado
"food fruit for kitchen",avocado
"lantern",lantern
"camping light",lantern
"hanging lamp",lantern
"decorative room light",lantern
"white Laptop",laptop
